🍳世界频道_3872,#genre#
三明公共,http://stream.smntv.cn/smtv2/playlist.m3u8
三明新闻综合,http://stream.smntv.cn/smtv1/playlist.m3u8
东至综合频道,http://223.247.33.124:1935/live/zonghe/playlist.m3u8
新加坡-CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡-CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNN International Germany (720p),https://cnn-cnninternational-1-de.samsung.wurl.com/manifest/playlist.m3u8
CNC中文 (720p) [Not 24/7],http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNA International (1080p),https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
CNC英语 (720p) [Not 24/7],http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
红牛REDBULL TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8
World Fashion Channel International (1080p),https://wfcint.mediacdn.ru/cdn/wfcintweb/playlist.m3u8
World Poker Tour (1080p) [Not 24/7],https://d3w4n3hhseniak.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/WPT-DistroTV/150.m3u8
BBS Buddhist Broadcasting,http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
BeritaSatu World,https://b1world.beritasatumedia.com/Beritasatu/B1World_manifest.m3u8
CJ OnStyle,https://live-ch1.cjonstyle.net/cjmalllive/stream2/playlist.m3u8
CJ OnStyle Plus,https://live-ch2.cjonstyle.net/cjosplus/live2/playlist.m3u8
CJB청주방송 (SBS 淸州) (540p) [Not 24/7],http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
Classic Arts Showcase,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8
CNA International,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
CTS기독교TV,https://d34t5yjz1ooymj.cloudfront.net/out/v1/875039d5eba0478fa8375a06b3aa5a37/index.m3u8
KBC 광주방송 (SBS 光州),http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
KCTV 광주 CH05 (720p) [Not 24/7],http://119.77.96.184:1935/chn05/chn05/playlist.m3u8
TBC SBS,http://221.157.125.239:1935/live/psike/playlist.m3u8
TBS Seoul,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
 9d300046907078faf0e2ec1f6ef
Private,p3p://45.86.67.154:9906/5d4c5a4d0000fa2607918abd4b19d609
Redlight,p3p://45.86.67.154:9906/5d4c5ab0000b952e0793102c944e6d2b
Penthouse,p3p://45.86.67.154:9906/5d4f96c10008ca971435b1dd34df64a7
西方1ON1,p3p://45.86.67.154:9906/5d5993b80005f6e90770fd4750858dad
Vivid HD,p3p://45.86.67.154:9906/5d4c58250004966307891f6aec517474
西方21Sextuary,p3p://45.86.67.154:9906/5d59940400084e1b077226c02d3c1976
西方葡萄牙情色,p3p://45.86.67.154:9906/5d59949e000647c707747fcbd735c60c
西方老牛吃嫩草,p3p://45.86.67.154:9906/5d5994f60008897a0775d81f36e3fcbf
韩国演艺圈潜规则,p3p://45.86.67.154:9906/5d5995e9000e2c6707798ec91bc8ba08
Naughty America,p3p://45.86.67.154:9906/5d5996cc0004d512077d031d6df4719e
西方OFFICE场景,p3p://45.86.67.154:9906/5d59971a0008b9c4077e34cceff4aa94
西方黑白大战,p3p://45.86.67.154:9906/5d59976d000162a8077f77232ed1532c
上原亚衣,p3p://45.86.67.154:9906/60885714000d79780f469106a18a8398
奥体金丝雀,p3p://45.86.67.154:9906/60885696000e73570f44a516ac364b5e
日本VR精品,p3p://45.86.67.154:9906/6088565d00040b9b0f43c3c4428ec6b5
苍井空,p3p://45.86.67.154:9906/608856240007a22a0f42e6072d5e291b
天堂素人约啪,p3p://45.86.67.154:9906/608855f5000334d30f422d4d37584dc1
大神猫先生,p3p://45.86.67.154:9906/6088574f000726f40f4775e0effc3aef
波多野结衣,p3p://45.86.67.154:9906/6088554b000a8bdf0f3f971e47c8b07c
Heyzo无码,p3p://45.86.67.154:9906/608bea27000c60bd034481e611c23d95
人妻斩,p3p://45.86.67.154:9906/608bea4b000e85d903450f12cb48a2ef
猫步毒药,p3p://45.86.67.154:9906/608bea74000ea3350345af42d8d8b0a6
人妻熟女,p3p://45.86.67.154:9906/608bea960002cfd30346310ba8ab00a1
素人动画,p3p://45.86.67.154:9906/608beab8000eeeb70346b8f59110da07
XXXAV,p3p://45.86.67.154:9906/608beae40002b5d4034761b4ed6c00f0
黑珍珠,p3p://45.86.67.154:9906/608beb520004891c03490fdc097d7e4c
