邓紫棋,#genre#
a i n y (演唱会),http://em.21dtv.com/songs/60072863.mkv
ALL ABOUT U,http://em.21dtv.com/songs/60096841.mkv
all about u(演唱会),http://em.21dtv.com/songs/60063524.mkv
all about you,http://em.21dtv.com/songs/60000140.mkv
爱你,http://em.21dtv.com/songs/60007775.mkv
爱如意,http://em.21dtv.com/songs/60158476.mkv
不存在的存在,http://em.21dtv.com/songs/60094709.mkv
北京北京,http://em.21dtv.com/songs/60118953.mkv
错过不错,http://em.21dtv.com/songs/60161689.mkv
查克靠近,http://em.21dtv.com/songs/60116282.mkv
穿越火线,http://em.21dtv.com/songs/60143998.mkv
存在,http://em.21dtv.com/songs/60096507.mkv
存在第二期),http://em.21dtv.com/songs/60081648.mkv
蝶恋花,http://em.21dtv.com/songs/60075204.mkv
don t stop the music,http://em.21dtv.com/songs/60073132.mkv
dont stop the music(演唱会),http://em.21dtv.com/songs/60063577.mkv
毒苹果,http://em.21dtv.com/songs/60165309.mkv
倒数,http://em.21dtv.com/songs/60168053.mkv
单行的轨道,http://em.21dtv.com/songs/60110571.mkv
多远都要在一起,http://em.21dtv.com/songs/60109648.mkv
多远都要在一起(现场版),http://em.21dtv.com/songs/60143059.mkv
等一个他,http://em.21dtv.com/songs/60015051.mkv
Falling,http://em.21dtv.com/songs/60098798.mkv
分开后的关心,http://em.21dtv.com/songs/60085083.mkv
game over,http://em.21dtv.com/songs/60001830.mkv
get everybody moving(演唱会),http://em.21dtv.com/songs/60063599.mkv
GET OVER YOU,http://em.21dtv.com/songs/60096855.mkv
光年之外,http://em.21dtv.com/songs/60157870.mkv
光年之外(现场版),http://em.21dtv.com/songs/60143057.mkv
good to be bad,http://em.21dtv.com/songs/60001963.mkv
画,http://em.21dtv.com/songs/60122161.mkv
后会无期,http://em.21dtv.com/songs/60102779.mkv
红蔷薇白玫瑰,http://em.21dtv.com/songs/60124544.mkv
回忆的沙漏,http://em.21dtv.com/songs/60022246.mkv
回忆的沙漏(现场版),http://em.21dtv.com/songs/60143058.mkv
IF I WERE A BOY,http://em.21dtv.com/songs/60148501.mkv
If I Were A Boy（我是歌手第二期）,http://em.21dtv.com/songs/60096504.mkv
IMAGINE,http://em.21dtv.com/songs/60100497.mkv
INTRO+AFTER TONIGHT,http://em.21dtv.com/songs/60096862.mkv
寂寞星球的玫瑰(演唱会),http://em.21dtv.com/songs/60064366.mkv
给你的歌,http://em.21dtv.com/songs/60122162.mkv
just the way you are(演唱会),http://em.21dtv.com/songs/60073457.mkv
Lady Marmalade,http://em.21dtv.com/songs/60098799.mkv
lady marmalade(演唱会),http://em.21dtv.com/songs/60073475.mkv
龙卷风,http://em.21dtv.com/songs/60098801.mkv
另一个童话,http://em.21dtv.com/songs/60161662.mkv
来自天堂的魔鬼,http://em.21dtv.com/songs/60116281.mkv
mascara,http://em.21dtv.com/songs/60003760.mkv
盲点,http://em.21dtv.com/songs/60116283.mkv
美好的旧时光(演唱会),http://em.21dtv.com/songs/60064520.mkv
慢慢,http://em.21dtv.com/songs/60105576.mkv
妈妈别难过,http://em.21dtv.com/songs/60136203.mkv
music box prelude(演唱会),http://em.21dtv.com/songs/60073629.mkv
mysecret 我的秘密(演唱会),http://em.21dtv.com/songs/60073649.mkv
你不是真正的快乐,http://em.21dtv.com/songs/60156633.mkv
你把我灌醉,http://em.21dtv.com/songs/60080488.mkv
那一夜,http://em.21dtv.com/songs/60165086.mkv
偶尔,http://em.21dtv.com/songs/60094710.mkv
偶尔(现场版),http://em.21dtv.com/songs/60143056.mkv
oh boy,http://em.21dtv.com/songs/60067960.mkv
one button,http://em.21dtv.com/songs/60060885.mkv
泡沫,http://em.21dtv.com/songs/60071024.mkv
泡沫(现场版),http://em.21dtv.com/songs/60143060.mkv
奇迹,http://em.21dtv.com/songs/60077121.mkv
囚鸟,http://em.21dtv.com/songs/60077293.mkv
情人(演唱会),http://em.21dtv.com/songs/60064743.mkv
潜意式的残酷,http://em.21dtv.com/songs/60077156.mkv
如果没有你,http://em.21dtv.com/songs/60097545.mkv
十八(演唱会),http://em.21dtv.com/songs/60063511.mkv
是否,http://em.21dtv.com/songs/60086832.mkv
睡公主,http://em.21dtv.com/songs/60040288.mkv
睡皇后,http://em.21dtv.com/songs/60168136.mkv
瞬间,http://em.21dtv.com/songs/60118090.mkv
死了都要爱,http://em.21dtv.com/songs/60143997.mkv
塞纳河,http://em.21dtv.com/songs/60077444.mkv
塞纳河(演唱会),http://em.21dtv.com/songs/60064818.mkv
SOMEDAY I'LL FLY,http://em.21dtv.com/songs/60096880.mkv
someday ill fly,http://em.21dtv.com/songs/60066721.mkv
疏远,http://em.21dtv.com/songs/60132154.mkv
失真,http://em.21dtv.com/songs/60077586.mkv
the voice within 遗失的声音,http://em.21dtv.com/songs/60074028.mkv
桃花诺,http://em.21dtv.com/songs/60138100.mkv
突然之间,http://em.21dtv.com/songs/60165310.mkv
忐忑(演唱会),http://em.21dtv.com/songs/60064945.mkv
twinkle ii(演唱会),http://em.21dtv.com/songs/60063777.mkv
Victoria,http://em.21dtv.com/songs/60164861.mkv
wanna be startin somethin,http://em.21dtv.com/songs/60063786.mkv
我不懂爱(演唱会),http://em.21dtv.com/songs/60065041.mkv
我的秘密,http://em.21dtv.com/songs/60095102.mkv
我的秘密(演唱会),http://em.21dtv.com/songs/60065060.mkv
what have u done,http://em.21dtv.com/songs/60068009.mkv
What Have You Done+想讲你知,http://em.21dtv.com/songs/60097899.mkv
where did u go(演唱会),http://em.21dtv.com/songs/60063799.mkv
where did you go,http://em.21dtv.com/songs/60006282.mkv
我要我们在一起（我是歌手第二期）,http://em.21dtv.com/songs/60096508.mkv
我只在乎你,http://em.21dtv.com/songs/60154401.mkv
写不完的温柔,http://em.21dtv.com/songs/60049998.mkv
心的节奏,http://em.21dtv.com/songs/60110572.mkv
新的心跳,http://em.21dtv.com/songs/60112998.mkv
喜欢你,http://em.21dtv.com/songs/60103612.mkv
喜欢你（我是歌手第二期）,http://em.21dtv.com/songs/60096506.mkv
想讲你知,http://em.21dtv.com/songs/60049058.mkv
想讲你知(演唱会),http://em.21dtv.com/songs/60065200.mkv
下一秒,http://em.21dtv.com/songs/60078543.mkv
心之焰,http://em.21dtv.com/songs/60138099.mkv
有多少爱可以重来,http://em.21dtv.com/songs/60079277.mkv
夜空中最亮的星,http://em.21dtv.com/songs/60124543.mkv
一路逆风,http://em.21dtv.com/songs/60116277.mkv
you raise me up,http://em.21dtv.com/songs/60074189.mkv
于是,http://em.21dtv.com/songs/60116278.mkv
遗失的声音,http://em.21dtv.com/songs/60061833.mkv
有心人,http://em.21dtv.com/songs/60120992.mkv
再见,http://em.21dtv.com/songs/60117269.mkv
自由,http://em.21dtv.com/songs/60145964.mkv

方大同,#genre#
爱爱爱,http://em.21dtv.com/songs/60006940.mkv
爱立刻,http://em.21dtv.com/songs/60070464.mkv
爱在(演唱会),http://em.21dtv.com/songs/60009150.mkv
bb88,http://em.21dtv.com/songs/60067853.mkv
巴黎,http://em.21dtv.com/songs/60102278.mkv
can you feel the music(演唱会),http://em.21dtv.com/songs/60073031.mkv
Catch A Dream,http://em.21dtv.com/songs/60158225.mkv
春风吹,http://em.21dtv.com/songs/60013231.mkv
等着你回来,http://em.21dtv.com/songs/60015061.mkv
放不过自己,http://em.21dtv.com/songs/60126948.mkv
够不够,http://em.21dtv.com/songs/60018805.mkv
孤独孩儿(演唱会),http://em.21dtv.com/songs/60075557.mkv
公园,http://em.21dtv.com/songs/60018697.mkv
关于爱的定义,http://em.21dtv.com/songs/60071969.mkv
黑白,http://em.21dtv.com/songs/60020488.mkv
很不低调,http://em.21dtv.com/songs/60153255.mkv
黑白灰,http://em.21dtv.com/songs/60100079.mkv
好不容易,http://em.21dtv.com/songs/60019974.mkv
红豆,http://em.21dtv.com/songs/60020819.mkv
黑洞里,http://em.21dtv.com/songs/60020509.mkv
if you leave me now,http://em.21dtv.com/songs/60082212.mkv
i want you back,http://em.21dtv.com/songs/60073402.mkv
假行僧,http://em.21dtv.com/songs/60167899.mkv
Lights Up,http://em.21dtv.com/songs/60093746.mkv
love song,http://em.21dtv.com/songs/60003596.mkv
Love Song,http://em.21dtv.com/songs/60116852.mkv
麦恩莉,http://em.21dtv.com/songs/60076564.mkv
每个人都会(演唱会),http://em.21dtv.com/songs/60029038.mkv
妈妈说,http://em.21dtv.com/songs/60072174.mkv
暖(演唱会),http://em.21dtv.com/songs/60032793.mkv
你就是,http://em.21dtv.com/songs/60076922.mkv
Nmw,http://em.21dtv.com/songs/60129170.mkv
nothings gonna change my love for you,http://em.21dtv.com/songs/60004184.mkv
南音,http://em.21dtv.com/songs/60031158.mkv
千纸鹤,http://em.21dtv.com/songs/60069712.mkv
red bean(红豆),http://em.21dtv.com/songs/60004632.mkv
Ring Finger,http://em.21dtv.com/songs/60129171.mkv
romeo(演唱会),http://em.21dtv.com/songs/60073815.mkv
sing a long song,http://em.21dtv.com/songs/60066720.mkv
苏丽珍,http://em.21dtv.com/songs/60040817.mkv
sorry,http://em.21dtv.com/songs/60005197.mkv
三人游(演唱会),http://em.21dtv.com/songs/60037299.mkv
听,http://em.21dtv.com/songs/60112715.mkv
特别的人,http://em.21dtv.com/songs/60100078.mkv
昙花,http://em.21dtv.com/songs/60099262.mkv
桃花运,http://em.21dtv.com/songs/60100077.mkv
无菇朋友,http://em.21dtv.com/songs/60047123.mkv
悟空,http://em.21dtv.com/songs/60122783.mkv
玩乐,http://em.21dtv.com/songs/60071200.mkv
为你写的歌,http://em.21dtv.com/songs/60043998.mkv
危险世界,http://em.21dtv.com/songs/60099261.mkv
小方,http://em.21dtv.com/songs/60098404.mkv
小小虫,http://em.21dtv.com/songs/60049798.mkv
因为你,http://em.21dtv.com/songs/60054240.mkv
张永成,http://em.21dtv.com/songs/60057548.mkv

凤凰传奇,#genre#
爱的狂怒,http://em.21dtv.com/songs/60007288.mkv
爱的天下,http://em.21dtv.com/songs/60117573.mkv
爱琴海,http://em.21dtv.com/songs/60008076.mkv
拜新年,http://em.21dtv.com/songs/60061040.mkv
策马奔腾,http://em.21dtv.com/songs/60061093.mkv
策马扬鞭,http://em.21dtv.com/songs/60110013.mkv
次仁拉索,http://em.21dtv.com/songs/60169420.mkv
草原凤凰(演唱会),http://em.21dtv.com/songs/60012075.mkv
等爱的玫瑰,http://em.21dtv.com/songs/60014851.mkv
等爱的玫瑰(演唱会),http://em.21dtv.com/songs/60014850.mkv
等爱的玫瑰之慢摇,http://em.21dtv.com/songs/60089667.mkv
待嫁的新娘,http://em.21dtv.com/songs/60103099.mkv
大漠情人,http://em.21dtv.com/songs/60014072.mkv
动起来,http://em.21dtv.com/songs/60117571.mkv
大声唱,http://em.21dtv.com/songs/60061132.mkv
繁花,http://em.21dtv.com/songs/60103920.mkv
凤凰展翅,http://em.21dtv.com/songs/60113284.mkv
飞天,http://em.21dtv.com/songs/60082896.mkv
歌唱二小放牛郎,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_8120530&response=res&format=mp4&type=convert_url
关东女,http://em.21dtv.com/songs/60110012.mkv
感到幸福你就拍拍手,http://em.21dtv.com/songs/60101943.mkv
GDXFNJPPS,http://em.21dtv.com/songs/60109173.mkv
古老的乡巴拉,http://em.21dtv.com/songs/60018986.mkv
桂林美,http://em.21dtv.com/songs/60019419.mkv
光芒,http://em.21dtv.com/songs/60162058.mkv
高山槐花开,http://em.21dtv.com/songs/60018214.mkv
嗨_Mrs_Leta,http://em.21dtv.com/songs/60087374.mkv
嗨!mrsleta(演唱会),http://em.21dtv.com/songs/60020607.mkv
合家欢,http://em.21dtv.com/songs/60119283.mkv
欢乐夜,http://em.21dtv.com/songs/60132229.mkv
荷塘月色,http://em.21dtv.com/songs/60020472.mkv
荷塘月色(演唱会),http://em.21dtv.com/songs/60020471.mkv
华夏传说,http://em.21dtv.com/songs/60154411.mkv
胡杨新娘,http://em.21dtv.com/songs/60021219.mkv
红颜先生,http://em.21dtv.com/songs/60120348.mkv
花烛夜,http://em.21dtv.com/songs/60137347.mkv
将进酒,http://em.21dtv.com/songs/60153950.mkv
今生的缘,http://em.21dtv.com/songs/60023776.mkv
吉祥年,http://em.21dtv.com/songs/60083101.mkv
吉祥如意,http://em.21dtv.com/songs/60169428.mkv
康定情歌,http://em.21dtv.com/songs/60025165.mkv
康定情缘,http://em.21dtv.com/songs/60025171.mkv
科尔沁哥哥,http://em.21dtv.com/songs/60087375.mkv
可可西里,http://em.21dtv.com/songs/60025303.mkv
快乐无极限,http://em.21dtv.com/songs/60103918.mkv
开门大吉,http://em.21dtv.com/songs/60148410.mkv
路灯下的小姑娘,http://em.21dtv.com/songs/60097889.mkv
郎的诱惑,http://em.21dtv.com/songs/60026179.mkv
溜溜的情歌,http://em.21dtv.com/songs/60027499.mkv
绿旋风,http://em.21dtv.com/songs/60061385.mkv
蒙古人,http://em.21dtv.com/songs/60061422.mkv
瞄着你就爱,http://em.21dtv.com/songs/60134919.mkv
年轻主义,http://em.21dtv.com/songs/60121420.mkv
陪你一辈子,http://em.21dtv.com/songs/60101944.mkv
泼水节,http://em.21dtv.com/songs/60033653.mkv
情歌天下唱,http://em.21dtv.com/songs/60079894.mkv
秋画,http://em.21dtv.com/songs/60061525.mkv
奇迹世界,http://em.21dtv.com/songs/60033950.mkv
全是爱,http://em.21dtv.com/songs/60035918.mkv
前世今生,http://em.21dtv.com/songs/60106628.mkv
青云直上,http://em.21dtv.com/songs/60134921.mkv
让爱领舞,http://em.21dtv.com/songs/60036030.mkv
让世界听我的,http://em.21dtv.com/songs/60137348.mkv
沙漠之恋,http://em.21dtv.com/songs/60037464.mkv
神奇的松原,http://em.21dtv.com/songs/60038482.mkv
深深爱,http://em.21dtv.com/songs/60038347.mkv
奢香夫人,http://em.21dtv.com/songs/60038186.mkv
水云间,http://em.21dtv.com/songs/60103101.mkv
天边的故乡,http://em.21dtv.com/songs/60105627.mkv
天籁传奇,http://em.21dtv.com/songs/60041895.mkv
天蓝蓝,http://em.21dtv.com/songs/60041899.mkv
天蓝蓝(演唱会),http://em.21dtv.com/songs/60041898.mkv
兔侠功夫操,http://em.21dtv.com/songs/60107517.mkv
我不是公主,http://em.21dtv.com/songs/60044822.mkv
我从草原来,http://em.21dtv.com/songs/60044958.mkv
舞动草原,http://em.21dtv.com/songs/60090676.mkv
我的家在哪里,http://em.21dtv.com/songs/60078208.mkv
我和草原有个约定,http://em.21dtv.com/songs/60045515.mkv
when you cry,http://em.21dtv.com/songs/60060945.mkv
我们的歌谣,http://em.21dtv.com/songs/60061691.mkv
忘情森巴舞,http://em.21dtv.com/songs/60117572.mkv
温柔姑娘,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6401404&response=res&format=mp4&type=convert_url
我是一只小小鸟,http://em.21dtv.com/songs/60046207.mkv
