林俊杰,#genre#
2infinity And Beyond,http://em.21dtv.com/songs/60128122.mkv
爱不会绝迹,http://em.21dtv.com/songs/60006990.mkv
爱错你,http://em.21dtv.com/songs/60087986.mkv
爱的初体验+Back To Black,http://em.21dtv.com/songs/60167037.mkv
爱的鼓励,http://em.21dtv.com/songs/60116039.mkv
always online,http://em.21dtv.com/songs/60000203.mkv
ALWAYS ONLINE,http://em.21dtv.com/songs/60107822.mkv
爱袂完,http://em.21dtv.com/songs/60071721.mkv
爱你,http://em.21dtv.com/songs/60147466.mkv
爱情多恼河,http://em.21dtv.com/songs/60166525.mkv
爱情一对一,http://em.21dtv.com/songs/60153296.mkv
爱情yogurt,http://em.21dtv.com/songs/60008095.mkv
爱上你的爱,http://em.21dtv.com/songs/60081077.mkv
爱上外星人,http://em.21dtv.com/songs/60091436.mkv
爱笑的眼睛,http://em.21dtv.com/songs/60008997.mkv
爱一回,http://em.21dtv.com/songs/60071751.mkv
爱与希望,http://em.21dtv.com/songs/60009137.mkv
爱与希望(演唱会),http://em.21dtv.com/songs/60009136.mkv
baby baby,http://em.21dtv.com/songs/60000383.mkv
不爱也好,http://em.21dtv.com/songs/60091430.mkv
半边月,http://em.21dtv.com/songs/60155536.mkv
不潮不用花钱,http://em.21dtv.com/songs/60011026.mkv
不存在的情人,http://em.21dtv.com/songs/60063995.mkv
不懂,http://em.21dtv.com/songs/60011044.mkv
表达爱,http://em.21dtv.com/songs/60010551.mkv
背对背拥抱,http://em.21dtv.com/songs/60088091.mkv
编号89757,http://em.21dtv.com/songs/60010476.mkv
白桦林中,http://em.21dtv.com/songs/60113304.mkv
保护色,http://em.21dtv.com/songs/60010025.mkv
波间带,http://em.21dtv.com/songs/60010887.mkv
白兰花,http://em.21dtv.com/songs/60074587.mkv
不流泪的机场,http://em.21dtv.com/songs/60011236.mkv
不能说的秘密,http://em.21dtv.com/songs/60165178.mkv
不死之身,http://em.21dtv.com/songs/60011404.mkv
不为谁而作的歌,http://em.21dtv.com/songs/60116956.mkv
别问我在哪里,http://em.21dtv.com/songs/60010735.mkv
翅膀,http://em.21dtv.com/songs/60168130.mkv
曹操,http://em.21dtv.com/songs/60012055.mkv
匆匆那年,http://em.21dtv.com/songs/60148339.mkv
除了爱你还能爱谁,http://em.21dtv.com/songs/60149587.mkv
痴情的泪,http://em.21dtv.com/songs/60155050.mkv
痴情无效,http://em.21dtv.com/songs/60064059.mkv
cries in a distance,http://em.21dtv.com/songs/60001083.mkv
痴心就是我的命,http://em.21dtv.com/songs/60135421.mkv
超越无限,http://em.21dtv.com/songs/60124121.mkv
盗(演唱会),http://em.21dtv.com/songs/60014769.mkv
弹唱,http://em.21dtv.com/songs/60118718.mkv
打错了 Its Your Chance,http://em.21dtv.com/songs/60130479.mkv
等等等等,http://em.21dtv.com/songs/60089262.mkv
第二天堂,http://em.21dtv.com/songs/60015180.mkv
东方紫玉,http://em.21dtv.com/songs/60101287.mkv
