李玉刚,#genre#
爱能创造奇迹,http://em.21dtv.com/songs/60117814.mkv
嫦娥,http://em.21dtv.com/songs/60074890.mkv
嫦娥(演唱会),http://em.21dtv.com/songs/60074889.mkv
春江花月夜,http://em.21dtv.com/songs/60061113.mkv
传人,http://em.21dtv.com/songs/60168679.mkv
出塞曲(演唱会),http://em.21dtv.com/songs/60065904.mkv
独孤天下,http://em.21dtv.com/songs/60153044.mkv
贵妃醉酒,http://em.21dtv.com/songs/60019407.mkv
刚好遇见你,http://em.21dtv.com/songs/60147414.mkv
归去来兮(演唱会),http://em.21dtv.com/songs/60066005.mkv
国色天香,http://em.21dtv.com/songs/60097317.mkv
故乡,http://em.21dtv.com/songs/60148467.mkv
公主岭,http://em.21dtv.com/songs/60155513.mkv
回家,http://em.21dtv.com/songs/60169659.mkv
花满楼(演唱会),http://em.21dtv.com/songs/60021452.mkv
浣纱曲(演唱会),http://em.21dtv.com/songs/60066035.mkv
换一种方式爱你,http://em.21dtv.com/songs/60121110.mkv
就差一点点,http://em.21dtv.com/songs/60121109.mkv
镜花水月(演唱会),http://em.21dtv.com/songs/60024282.mkv
李,http://em.21dtv.com/songs/60147416.mkv
梨花颂(演唱会),http://em.21dtv.com/songs/60026815.mkv
岭上公主,http://em.21dtv.com/songs/60070882.mkv
梦回春秋,http://em.21dtv.com/songs/60109426.mkv
美人,http://em.21dtv.com/songs/60064532.mkv
陌上风雅,http://em.21dtv.com/songs/60156382.mkv
女儿情,http://em.21dtv.com/songs/60102351.mkv
南飞雁,http://em.21dtv.com/songs/60104209.mkv
菩提,http://em.21dtv.com/songs/60167631.mkv
清明上河图,http://em.21dtv.com/songs/60034888.mkv
牵丝戏,http://em.21dtv.com/songs/60147417.mkv
日日红上海(现场版),http://em.21dtv.com/songs/60098483.mkv
水墨丹青,http://em.21dtv.com/songs/60040210.mkv
水墨丹青(演唱会),http://em.21dtv.com/songs/60040209.mkv
盛世华章,http://em.21dtv.com/songs/60088028.mkv
盛世霓裳(演唱会),http://em.21dtv.com/songs/60066306.mkv
天池(演唱会),http://em.21dtv.com/songs/60061626.mkv
天池南,http://em.21dtv.com/songs/60130429.mkv
我的初恋,http://em.21dtv.com/songs/60120631.mkv
我一直在这里,http://em.21dtv.com/songs/60163860.mkv
夕爱,http://em.21dtv.com/songs/60145789.mkv
幸福的含义,http://em.21dtv.com/songs/60134438.mkv
新贵妃醉酒,http://em.21dtv.com/songs/60050835.mkv
学会原谅,http://em.21dtv.com/songs/60131974.mkv
孝顺父母,http://em.21dtv.com/songs/60121775.mkv
相约在一起,http://em.21dtv.com/songs/60124676.mkv
月儿弯弯,http://em.21dtv.com/songs/60167789.mkv
雨花石,http://em.21dtv.com/songs/60147418.mkv
遇见旗袍,http://em.21dtv.com/songs/60165457.mkv
夜将至,http://em.21dtv.com/songs/60166802.mkv
月亮粑粑,http://em.21dtv.com/songs/60147415.mkv
雁南飞,http://em.21dtv.com/songs/60079016.mkv
长安故事,http://em.21dtv.com/songs/60137721.mkv
逐梦令,http://em.21dtv.com/songs/60065501.mkv
致情人,http://em.21dtv.com/songs/60109427.mkv

林宥嘉,#genre#
4号病房,http://em.21dtv.com/songs/60084688.mkv
爱不释手,http://em.21dtv.com/songs/60007021.mkv
爱的恋歌,http://em.21dtv.com/songs/60069175.mkv
爱的旅途,http://em.21dtv.com/songs/60007315.mkv
爱的生还者,http://em.21dtv.com/songs/60007362.mkv
爱得太狂(无原唱),http://em.21dtv.com/songs/60007152.mkv
暗恋,http://em.21dtv.com/songs/60009376.mkv
爱你的翅膀,http://em.21dtv.com/songs/60082498.mkv
爱你的心留在冬季,http://em.21dtv.com/songs/60007880.mkv
爱情的背影,http://em.21dtv.com/songs/60074428.mkv
爱情路口,http://em.21dtv.com/songs/60137729.mkv
爱情是圆的,http://em.21dtv.com/songs/60008387.mkv
